Invoice ID,Branch,City,Customer Names,Customer type,Gender,Product line,Unit price,Quantity,Date,Payment,Gross Income
149-61-1929,A,Yan, Isabella.Anderson,Normal,Male,Sports and travel,64.19,10,31-12-20,Credit card,32.095
589-02-8023,A,Yan, Jackson.Thomas,Member,Male,Food and beverages,83.77,2,04-11-20,Credit card,8.377
420-04-7590,B,Man, Christopher.Perez,Member,Male,Home and lifestyle,99.7,3,31-12-20,Ewallet,14.955
182-88-2763,B,Man, Victoria.Rodriguez,Member,Male,Food and beverages,79.91,3,14-09-20,Credit card,11.9865
188-55-0967,B,Man, Joshua.Wright,Normal,Male,Health and beauty,66.47,10,18-05-20,Credit card,33.235
610-46-4100,A,Yan, Emily.Thomas,Member,Male,Health and beauty,28.95,7,31-12-20,Credit card,10.1325
318-81-2368,C,Nay, Caleb.Ramirez,Member,Female,Electronic accessories,46.2,1,18-01-20,Cash,2.31
364-33-8584,B,Man, Elizabeth.Hernandez,Member,Female,Food and beverages,17.63,5,11-01-20,Cash,4.4075
665-63-9737,B,Man, Gabriel.Johnson,Member,Male,Fashion accessories,52.42,3,26-08-20,Ewallet,7.863
695-09-5146,B,Man, Lily.White,Normal,Female,Food and beverages,98.79,3,15-11-20,Ewallet,14.8185
155-45-3814,C,Nay, Dylan.Anderson,Member,Female,Electronic accessories,88.55,8,28-09-20,Ewallet,35.42
794-32-2436,B,Man, Sophia.Davis,Member,Male,Electronic accessories,55.67,2,17-12-20,Ewallet,5.567
131-15-8856,C,Nay, Michael.Parker,Normal,Female,Food and beverages,72.52,8,24-09-20,Credit card,29.008
273-84-2164,C,Nay, Addison.Rodriguez,Member,Male,Electronic accessories,12.05,5,26-03-20,Ewallet,3.0125
706-36-6154,A,Yan, Jacob.Thompson,Member,Male,Home and lifestyle,19.36,9,08-03-20,Ewallet,8.712
778-89-7974,C,Nay, Hailey.Jones,Normal,Male,Health and beauty,70.21,6,29-08-20,Cash,21.063
574-31-8277,B,Man, Elijah.Campbell,Normal,Male,Fashion accessories,33.63,1,01-05-20,Cash,1.6815
859-71-0933,C,Nay, Avery.Green,Normal,Female,Sports and travel,15.49,2,20-12-20,Cash,1.549
740-11-5257,C,Nay, Zoey.Collins,Normal,Male,Electronic accessories,24.74,10,27-10-20,Cash,12.37
369-82-2676,B,Man, Benjamin.White,Member,Male,Electronic accessories,75.66,5,21-09-20,Ewallet,18.915
563-47-4072,B,Man, Brooklyn.Ramirez,Normal,Female,Health and beauty,55.81,6,31-12-20,Cash,16.743
742-04-5161,A,Yan, Caleb.Mitchell,Member,Male,Home and lifestyle,72.78,10,19-12-20,Cash,36.39
149-15-7606,B,Man, Natalie.Anderson,Member,Male,Sports and travel,37.32,9,18-12-20,Ewallet,16.794
133-77-3154,B,Man, Owen.Rivera,Normal,Male,Fashion accessories,60.18,4,31-05-20,Credit card,12.036
169-52-4504,A,Yan, Chloe.Kim,Member,Female,Electronic accessories,15.69,3,23-04-20,Credit card,2.3535
250-81-7186,C,Nay, Tyler.Thomas,Normal,Female,Electronic accessories,99.69,1,28-05-20,Credit card,4.9845
562-12-5430,A,Yan, Audrey.Hernandez,Member,Female,Fashion accessories,88.15,3,06-08-20,Ewallet,13.2225
816-72-8853,A,Yan, Ryan.Campbell,Member,Female,Sports and travel,27.93,5,18-05-20,Cash,6.9825
491-38-3499,A,Yan, Madelyn.Johnson,Member,Male,Fashion accessories,55.45,1,13-03-20,Credit card,2.7725
322-02-2271,B,Man, Connor.Anderson,Member,Female,Sports and travel,42.97,3,23-12-20,Cash,6.4455
842-29-4695,C,Nay, Arianna.Green,Member,Male,Sports and travel,17.14,7,16-08-20,Credit card,5.999
725-67-2480,B,Man, Joshua.White,Member,Female,Fashion accessories,58.75,6,03-09-20,Credit card,17.625
641-51-2661,C,Nay, Elizabeth.Mitchell,Member,Female,Food and beverages,87.1,10,23-01-20,Credit card,43.55
714-02-3114,C,Nay, William.Campbell,Member,Female,Sports and travel,98.8,2,05-01-20,Cash,9.88
518-17-2983,A,Yan, Ava.Andrews,Member,Female,Fashion accessories,48.63,4,08-12-20,Ewallet,9.726
779-42-2410,B,Man, Christopher.Ramirez,Normal,Male,Food and beverages,57.74,3,19-12-20,Ewallet,8.661
190-14-3147,B,Man, Savannah.White,Member,Female,Health and beauty,17.97,4,20-11-20,Ewallet,3.594
